date,d18o,t2m,precip,RH
5/1/1976,-3.587854385,280.3476257,0.00697044,86.66104126
6/1/1976,-3.939021349,278.3656006,0.004225873,85.78786469
7/1/1976,-3.826891899,278.4262085,0.005261603,88.63655853
8/1/1976,-6.470874786,278.5456543,0.00518339,81.29553223
9/1/1976,-4.808267117,280.2731934,0.003024237,80.68904877
10/1/1976,-2.303075314,281.1923523,0.003012386,80.80757904
11/1/1976,-7.475369453,283.7594604,0.005211832,79.77240753
12/1/1976,-4.241997719,284.4259033,0.011727213,82.9727478
1/1/1977,-3.911386013,286.9064636,0.004742553,76.26389313
2/1/1977,-0.579496145,287.1124573,0.002308469,66.31912994
3/1/1977,-4.818193436,285.6081848,0.006247561,82.57566833
4/1/1977,-4.274894714,281.7341614,0.004567166,90.30390167
5/1/1977,-6.532967567,280.0274048,0.005245013,84.02372742
6/1/1977,-4.309548855,278.4971619,0.003683122,88.61878204
7/1/1977,-4.905538559,278.0228577,0.00438704,88.43308258
8/1/1977,-5.213647842,279.5115356,0.004844467,84.39117432
9/1/1977,-4.917658329,278.985321,0.002668723,82.10154724
10/1/1977,-0.183431402,282.1773071,0.005114658,76.07621765
11/1/1977,-3.282827854,282.828186,0.007399426,84.28844452
12/1/1977,-4.06180048,284.5868835,0.005060146,77.72577667
1/1/1978,-3.908986807,285.8367004,0.002386682,80.00354767
2/1/1978,-3.349408865,286.0201721,0.003756595,79.3950882
3/1/1978,-1.917563677,285.473175,0.002488596,74.66371918
4/1/1978,-4.995051384,282.6793213,0.004752034,86.43583679
5/1/1978,-3.202996016,281.8916931,0.004294606,80.74239349
6/1/1978,-7.940612316,278.0367126,0.001196896,75.73445129
7/1/1978,-5.121335983,277.9155579,0.007243,91.5030365
8/1/1978,-3.518153191,278.1371155,0.006138537,90.20117188
9/1/1978,-5.368703365,280.6488342,0.004313567,81.43777466
10/1/1978,-1.43972218,281.7376404,0.006420578,80.05490875
11/1/1978,-2.799748898,283.8287048,0.006110096,78.80045319
12/1/1978,-2.016923904,285.2983398,0.004280386,81.0071106
1/1/1979,-0.954930604,287.6903687,0.003222648,73.7272644
2/1/1979,-0.260504991,287.2919006,0.004064261,75.28305817
3/1/1979,-2.642228127,285.9924316,0.003880379,82.46730804
4/1/1979,-4.716004848,282.0075989,0.005266565,84.7060318
5/1/1979,-5.969839096,279.7824402,0.003550335,86.15823364
6/1/1979,-8.03627491,280.6587524,0.003911026,83.42840576
7/1/1979,-4.746353149,278.8408813,0.004910589,88.42956543
8/1/1979,-5.637730598,278.4459229,0.006313278,89.29666901
